,author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price,district,street,house_number,underground,residential_complex,latitude,longitude,und_long,und_lat,underground_distance
1401,FS PROPERTY,real_estate_agent,https://www.cian.ru/sale/flat/303261496/,Москва,sale,flat,4,9,2,64.0,86400000.0,Тверской,1-я Тверская-Ямская ,2,Маяковская,Vesper Tverskaya,55.77255728999912,37.59303372867971,37.59583333333333,55.77,0.33457340260734086
1402,Славянский Двор Остоженка,real_estate_agent,https://www.cian.ru/sale/flat/279918609/,Москва,sale,flat,3,4,2,56.0,87500000.0,Пресненский,Малая Бронная ,26С1,Маяковская,Малая Бронная 26,55.7634952,37.59438590383212,37.59583333333333,55.77,0.7299050312854624
1403,MHEstate - Элитная недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/307397945/,Москва,sale,flat,3,9,2,70.0,89000000.0,Пресненский,Большая Бронная ,9/1,Пушкинская,,55.76459509841433,37.60341883938107,37.60777777777778,55.765,0.2773045015181018
1404,Century 21 Premium Property,real_estate_agent,https://www.cian.ru/sale/flat/301255231/,Москва,sale,flat,3,6,2,72.0,90460000.0,Арбат,Поварская ,8/1к1,Арбатская,De Luxe квартал апартаментов Театральный Дом,55.7538862,37.59796143079268,37.60611111111111,55.75222222222222,0.5442226513523706
1405,Century 21 Premium Property,real_estate_agent,https://www.cian.ru/sale/flat/301255231/,Москва,sale,flat,3,6,2,72.0,90460000.0,Арбат,Поварская ,8/1к1,Арбатская,De Luxe квартал апартаментов Театральный Дом,55.7538862,37.59796143079268,37.600833333333334,55.751666666666665,0.305916650668586
1406,BARNES International Realty,real_estate_agent,https://www.cian.ru/sale/flat/301356296/,Москва,sale,flat,5,7,2,66.2,93391500.0,Арбат,Поварская ,8/1к1,Арбатская,De Luxe квартал апартаментов Театральный Дом,55.7538862,37.59796143079268,37.60611111111111,55.75222222222222,0.5442226513523706
1407,BARNES International Realty,real_estate_agent,https://www.cian.ru/sale/flat/301356296/,Москва,sale,flat,5,7,2,66.2,93391500.0,Арбат,Поварская ,8/1к1,Арбатская,De Luxe квартал апартаментов Театральный Дом,55.7538862,37.59796143079268,37.600833333333334,55.751666666666665,0.305916650668586
1408,Времена года,real_estate_agent,https://www.cian.ru/sale/flat/304329886/,Москва,sale,flat,5,8,2,77.2,100000000.0,Якиманка,Софийская набережная,34,Новокузнецкая,Софийский,55.7473038,37.62280532243886,37.629444444444445,55.74138888888889,0.7794523646662928
1409,ID 413522,realtor,https://www.cian.ru/sale/flat/304483795/,Москва,sale,flat,11,14,2,83.6,109800000.0,Хамовники, Усачева,15А,Спортивная,Садовые кварталы,55.72573935,37.57009003685431,37.56388888888889,55.723333333333336,0.4728521818473257
1410,Sellers Team,real_estate_agent,https://www.cian.ru/sale/flat/302601996/,Москва,sale,flat,5,7,2,92.0,120000000.0,Арбат,1-й Смоленский переулок,21,Смоленская,Smolensky De Luxe,55.74908685,37.5792787994215,37.58222222222222,55.7475,0.2556953254427217
1411,Sellers Team,real_estate_agent,https://www.cian.ru/sale/flat/302601996/,Москва,sale,flat,5,7,2,92.0,120000000.0,Арбат,1-й Смоленский переулок,21,Смоленская,Smolensky De Luxe,55.74908685,37.5792787994215,37.5825,55.74888888888889,0.20347752992003773
1412,,,https://www.cian.ru/sale/flat/307455467/,Москва,sale,flat,11,25,2,34.64,7965468.0,Люблино,Юго-Восточный ао,к8,Братиславская,Светлый Мир Станция Л ЖК,,,37.75055555555556,55.65972222222222,
1413,ФСК,developer,https://www.cian.ru/sale/flat/287254446/,Москва,sale,flat,1,15,2,38.89,8135788.0,,,к1,Румянцево,Движение. Говорово ЖК,,,37.441944444444445,55.63305555555556,
1414,ФСК,developer,https://www.cian.ru/sale/flat/307014909/,Москва,sale,flat,6,15,2,37.96,8238383.0,,,к2,Солнцево,Движение. Говорово ЖК,,,37.39111111111111,55.64944444444444,
1415,ФСК,developer,https://www.cian.ru/sale/flat/307017043/,Москва,sale,flat,1,15,2,36.57,8171201.0,,,к1,Румянцево,Движение. Говорово ЖК,,,37.441944444444445,55.63305555555556,
